Language	ABS(Eigenvector)	Popfrom	Popto
afr	0.00338395851406094	0.001	0.001
amh	0.000330192822395706	0.001	0.001
ang	0.000601422640792178	0.001	0.001
ara	0.0486530490147157	0.001	0.001
arg	0.000323929730638628	0.001	0.001
asm	0.000365570624795245	0.001	0.001
ast	0.00055530810966622	0.001	0.001
aze	0.00457337467999587	0.001	0.001
bar	0.00293040478247287	0.001	0.001
bel	0.00193582789054492	0.001	0.001
ben	0.00600243380712193	0.001	0.001
bik	0.000176889011997699	0.001	0.001
bre	0.00156814931531178	0.001	0.001
bul	0.0246891537801803	0.001	0.001
cat	0.0422385700748941	0.001	0.001
ceb	0.000518874435193252	0.001	0.001
ces	0.0502344828118076	0.001	0.001
chv	9.76554609300636e-05	0.001	0.001
cor	0.000271229818396472	0.001	0.001
cos	0.000126896833715793	0.001	0.001
csb	5.36993241161124e-05	0.001	0.001
cym	0.00321938001835813	0.001	0.001
dan	0.0516928758629115	0.001	0.001
deu	0.726106570245361	0.001	0.001
ell	0.0284703039418633	0.001	0.001
eml	0.000418962872004677	0.001	0.001
eng	1	0.001	0.001
epo	0.0125543337995137	0.001	0.001
est	0.0100649282663801	0.001	0.001
eus	0.00477659418776294	0.001	0.001
fao	0.000625007842391871	0.001	0.001
fas	0.03316231434233	0.001	0.001
fil	0.00569582618632592	0.001	0.001
fin	0.0725120543129073	0.001	0.001
fra	0.512415070261455	0.001	0.001
fry	0.000246060219549424	0.001	0.001
fur	0.000112355251208665	0.001	0.001
gla	0.000707556047990798	0.001	0.001
gle	0.00297173540156135	0.001	0.001
glg	0.00656836413837836	0.001	0.001
glk	1.75981470587155e-05	0.001	0.001
grn	0.000138827027416555	0.001	0.001
guj	0.00137973429358206	0.001	0.001
hbs	0.0459589905959834	0.001	0.001
heb	0.046254805823276	0.001	0.001
hif	0.000365570624795245	0.001	0.001
hin	0.0087265245918865	0.001	0.001
hun	0.058319765852931	0.001	0.001
hye	0.00262224937698078	0.001	0.001
ido	0.000495289233593558	0.001	0.001
ina	0.000672178245591258	0.001	0.001
isl	0.00593031675191778	0.001	0.001
ita	0.238190143793654	0.001	0.001
jav	0.00093863376590447	0.001	0.001
jpn	0.188067027035558	0.001	0.001
kab	0.000169195778287724	0.001	0.001
kal	0.000165096411197853	0.001	0.001
kan	0.00297173540156135	0.001	0.001
kas	7.07556047990798e-05	0.001	0.001
kat	0.0036303857395438	0.001	0.001
kaz	0.00145760787988549	0.001	0.001
khm	0.000660385644791411	0.001	0.001
kin	8.25482055989263e-05	0.001	0.001
kir	7.32415956975477e-05	0.001	0.001
kor	0.0375513874462748	0.001	0.001
ksh	0.000470947670657713	0.001	0.001
kur	0.00159479974011305	0.001	0.001
lao	0.000247644616796779	0.001	0.001
lat	0.0119092892524384	0.001	0.001
lav	0.00525576733146594	0.001	0.001
lij	8.14575571262823e-05	0.001	0.001
lim	0.000735178869614427	0.001	0.001
lit	0.0114521678246534	0.001	0.001
lmo	0.000722785114405789	0.001	0.001
ltz	0.00357841295563037	0.001	0.001
mal	0.00787745733429755	0.001	0.001
mar	0.00310145401035966	0.001	0.001
mkd	0.00474352429852076	0.001	0.001
mlt	0.000919822862388037	0.001	0.001
mol	0.000176889011997699	0.001	0.001
mon	0.0010613340719862	0.001	0.001
msa	0.0382928716882923	0.001	0.001
mya	0.000636800443191718	0.001	0.001
mzn	0.000194938731751756	0.001	0.001
nap	0.000593647084171773	0.001	0.001
nav	0.000153303810398006	0.001	0.001
nds	0.00210147338149285	0.001	0.001
nep	0.000919822862388037	0.001	0.001
nld	0.20456514509108	0.001	0.001
nor	0.0915522006356782	0.001	0.001
nrm	6.04270636741871e-05	0.001	0.001
oci	0.000441117564821566	0.001	0.001
ori	0.000389155826394939	0.001	0.001
pam	0.00014151120959816	0.001	0.001
pan	0.000471704031993865	0.001	0.001
pap	0.000294815019996166	0.001	0.001
pdc	0.000364292289812673	0.001	0.001
pol	0.142301423334057	0.001	0.001
por	0.166644139175542	0.001	0.001
pus	0.000200474213597393	0.001	0.001
que	0.000519822877480306	0.001	0.001
roh	0.000461711739823012	0.001	0.001
ron	0.0426011816657115	0.001	0.001
rup	0.000224059415197086	0.001	0.001
rus	0.230029977147793	0.001	0.001
sah	5.96783372350389e-05	0.001	0.001
san	0.000955200664787577	0.001	0.001
scn	0.00108280848529655	0.001	0.001
sco	0.00162737891037883	0.001	0.001
sin	0.00235852015996932	0.001	0.001
slk	0.0157245316725715	0.001	0.001
slv	0.0149847743214324	0.001	0.001
som	0.000707556047990798	0.001	0.001
spa	0.436014229891983	0.001	0.001
sqi	0.0104427985070438	0.001	0.001
srd	0.000120781895049315	0.001	0.001
sun	0.000575424432891828	0.001	0.001
swa	0.0010613340719862	0.001	0.001
swe	0.140677419544806	0.001	0.001
szl	6.5446051266512e-05	0.001	0.001
tam	0.00675716025831212	0.001	0.001
tat	9.223015754506e-05	0.001	0.001
tel	0.00432788449354371	0.001	0.001
tha	0.0176970951626574	0.001	0.001
tpi	0.000247644616796779	0.001	0.001
tur	0.0685014571331818	0.001	0.001
ukr	0.0299499075810576	0.001	0.001
urd	0.00239389796236887	0.001	0.001
vec	0.00027527036546123	0.001	0.001
vie	0.0179502646016599	0.001	0.001
vls	0.000666297270572444	0.001	0.001
yid	0.00075077797015583	0.001	0.001
zho	0.142197025252235	0.001	0.001
zul	0.00010613340719862	0.001	0.001
