Language	ABS(Eigenvector)	Popfrom	Popto
abk	1.59948694757296e-05	0.001	0.001
abq	1.3191644928557e-06	0.001	0.001
ady	9.64639035392274e-06	0.001	0.001
afr	0.00224814814302346	0.001	0.001
akk	7.84698121058057e-05	0.001	0.001
alt	7.75009139546479e-06	0.001	0.001
ang	0.000222753015010017	0.001	0.001
ara	0.0108147487458046	0.001	0.001
arc	0.000420193187405254	0.001	0.001
asm	9.69566209673704e-05	0.001	0.001
ast	0.000100106413239415	0.001	0.001
ava	1.58299739141253e-05	0.001	0.001
aze	0.000132163792626681	0.001	0.001
bak	6.13411489171994e-05	0.001	0.001
bam	5.31420195231825e-05	0.001	0.001
bdm	2.03190074647469e-05	0.001	0.001
bel	0.00020521581821975	0.001	0.001
ben	0.00127017964508973	0.001	0.001
bod	0.00161366204610564	0.001	0.001
bre	0.000585219132448358	0.001	0.001
bua	1.26145104628194e-05	0.001	0.001
bul	0.00152088355970304	0.001	0.001
cat	0.0171773677388165	0.001	0.001
ces	0.0420122493329472	0.001	0.001
che	9.48149479231578e-06	0.001	0.001
chm	1.47581527636865e-05	0.001	0.001
chp	0.000318941816946164	0.001	0.001
chu	1.24625427147275e-06	0.001	0.001
chv	2.57237076104389e-05	0.001	0.001
ckt	4.45218016335156e-06	0.001	0.001
cop	0.000149345771427169	0.001	0.001
cor	2.02502740918234e-05	0.001	0.001
cos	0.000129729047659513	0.001	0.001
cre	0.000172128791166191	0.001	0.001
crh	2.55588120489621e-06	0.001	0.001
cym	0.00682946122899324	0.001	0.001
dak	1.51938054654714e-05	0.001	0.001
dan	0.118015772045485	0.001	0.001
dar	9.89373369633448e-06	0.001	0.001
deu	0.648231414884667	0.001	0.001
djj	4.55631167065986e-05	0.001	0.001
djk	1.52694208647633e-05	0.001	0.001
dlg	9.0692558883309e-07	0.001	0.001
dum	6.08733952193047e-05	0.001	0.001
egy	0.000136689350119786	0.001	0.001
ell	0.0550858738091495	0.001	0.001
eng	1	0.001	0.001
enm	0.00037716135496014	0.001	0.001
est	0.0349710833952701	0.001	0.001
eus	0.00241635945392079	0.001	0.001
evn	2.14364230088011e-06	0.001	0.001
fao	7.81853080199648e-05	0.001	0.001
fas	0.0218404787825238	0.001	0.001
fil	0.000460693735588897	0.001	0.001
fin	0.0786483724146772	0.001	0.001
fra	0.617473350582363	0.001	0.001
fri	8.71629441030043e-05	0.001	0.001
frm	0.000365123534009049	0.001	0.001
fro	0.000969712794459935	0.001	0.001
ful	2.65710097615887e-05	0.001	0.001
gag	9.06925588831789e-07	0.001	0.001
gcf	0.000169856029042836	0.001	0.001
gcr	3.75120137810767e-05	0.001	0.001
gez	2.02502740918234e-05	0.001	0.001
gla	0.000612570791277541	0.001	0.001
gld	1.40161227365007e-06	0.001	0.001
gle	0.000377553643321852	0.001	0.001
glg	0.00207472607470967	0.001	0.001
gmh	0.00076072490146863	0.001	0.001
goh	2.46128696743982e-05	0.001	0.001
grc	0.0128423036486371	0.001	0.001
gsc	1.71930063163247e-05	0.001	0.001
gsw	0.000113219200502216	0.001	0.001
guj	0.000187405508618176	0.001	0.001
hat	2.78441268762552e-05	0.001	0.001
hau	1.71664523081342e-05	0.001	0.001
haw	4.30318324451201e-05	0.001	0.001
hbs	0.0189361808645259	0.001	0.001
heb	0.0324431746403882	0.001	0.001
hin	0.000965312683478517	0.001	0.001
hit	1.51877055688701e-05	0.001	0.001
hns	1.39969691260321e-05	0.001	0.001
hop	3.79692639221642e-05	0.001	0.001
hun	0.0296889046016043	0.001	0.001
hye	0.00060585830673064	0.001	0.001
iku	0.000109491650512958	0.001	0.001
inh	7.91498695706655e-06	0.001	0.001
isl	0.00165502856847365	0.001	0.001
ita	0.0970606794106683	0.001	0.001
jpn	0.279954166010027	0.001	0.001
