language	wiki.deg	wiki.bet	wiki.eig
afr	4	0	0.0869462482364709
amh	2	0	0.0684507797844612
ang	2	0	0.0684507797844612
ara	8	14	0.152734290253899
arg	2	0	0.0234256334923967
asm	2	0	0.0684507797844612
ast	2	0	0.0234256334923967
aze	6	0	0.116110698199241
bar	4	0	0.111492453883263
bel	4	0	0.100560779889358
ben	2	0	0.0684507797844612
bik	2	0	0.0684507797844612
bre	4	0	0.103916615197821
bul	8	4.66666666666667	0.149898859329244
cat	6	0	0.127342248690218
ceb	2	0	0.0684507797844612
ces	14	4.4	0.247100401249654
chv	2	0	0.0321100001048963
cor	2	0	0.0684507797844612
cos	2	0	0.0354658354133601
csb	2	0	0.0247350285818766
cym	2	0	0.0684507797844612
dan	8	0	0.148025509446017
deu	80	1093.11428571429	0.628797425454207
ell	4	0	0.111492453883263
eml	4	0	0.095577020595134
eng	226	14174.4476190476	1
epo	8	0	0.17038392278902
est	4	0	0.111492453883263
eus	4	0	0.0918764132768579
fao	2	0	0.0684507797844612
fas	8	265	0.0843818138443903
fil	2	0	0.0684507797844612
fin	14	0	0.257373499496671
fra	58	1266.88095238095	0.518121714975863
fry	2	0	0.0184954684520097
fur	2	0	0.0271262408106728
gla	2	0	0.0684507797844612
gle	2	0	0.0684507797844612
glg	6	0	0.108055692240895
glk	2	0	0.00577600095727574
grn	2	0	0.0234256334923967
guj	2	0	0.0684507797844612
hbs	12	17.3333333333333	0.193904983746563
heb	12	13	0.216223949009092
hif	2	0	0.0684507797844612
hin	2	0	0.0684507797844612
hun	18	8.9	0.28969820204694
hye	4	0	0.100560779889357
ido	2	0	0.0684507797844612
ina	2	0	0.0684507797844612
isl	4	0	0.111492453883263
ita	42	1184.26666666667	0.396288265759548
jav	4	0	0.0760017612532061
jpn	42	176.880952380952	0.459556942078673
kab	2	0	0.0354658354133601
kal	2	0	0.0684507797844612
kan	2	0	0.0684507797844612
kas	2	0	0.0684507797844612
kat	4	0	0.100560779889358
kaz	4	0	0.100560779889358
khm	2	0	0.0684507797844612
kin	2	0	0.0684507797844612
kir	2	0	0.0321100001048963
kor	8	0	0.156426354830204
ksh	2	0	0.0430416740988021
kur	6	0	0.127042372193147
lao	2	0	0.0684507797844612
lat	8	0	0.174084530107296
lav	4	0	0.100560779889358
lij	2	0	0.0271262408106728
lim	4	0	0.0869462482364709
lit	6	0	0.14360245398816
lmo	4	0	0.0955770205951341
ltz	6	0	0.146958289296623
mal	2	0	0.0684507797844612
mar	2	0	0.0684507797844612
mkd	6	0.5	0.0919844209358947
mlt	2	0	0.0684507797844612
mol	2	0	0.0684507797844612
mon	2	0	0.0684507797844612
msa	8	3	0.110312570470658
mya	2	0	0.0684507797844612
mzn	4	0	0.0742267807417369
nap	4	0	0.095577020595134
nav	2	0	0.0684507797844612
nds	4	0	0.111492453883263
nep	2	0	0.0684507797844612
nld	22	322	0.270200989824346
nor	12	3	0.21066093235947
nrm	2	0	0.0354658354133601
oci	2	0	0.0354658354133601
ori	2	0	0.0684507797844612
pam	2	0	0.0684507797844612
pan	2	0	0.0684507797844612
pap	2	0	0.0684507797844612
pdc	4	0	0.111492453883263
pol	30	561.376190476191	0.36135495694516
por	14	8.66666666666667	0.23636369103438
pus	2	0	0.0684507797844612
que	4	0	0.0918764132768579
roh	4	0	0.111492453883263
ron	12	0	0.226024598044462
rup	2	0	0.0684507797844612
rus	56	1334.50952380952	0.469096191540912
sah	2	0	0.0321100001048963
san	2	0	0.0684507797844612
scn	4	0	0.095577020595134
sco	2	0	0.0684507797844612
sin	2	0	0.0684507797844612
slk	10	0.285714285714286	0.172971765448001
slv	6	0	0.124765401224809
som	2	0	0.0684507797844612
spa	34	891.404761904762	0.342225955148497
sqi	4	0	0.111492453883263
srd	2	0	0.0271262408106728
sun	4	0	0.076001761253206
swa	2	0	0.0684507797844612
swe	22	26.8666666666667	0.323051841662828
szl	2	0	0.0247350285818765
tam	2	0	0.0684507797844612
tat	2	0	0.0321100001048963
tel	2	0	0.0684507797844612
tha	6	0	0.142949484923911
tpi	2	0	0.0684507797844612
tur	14	13.6666666666667	0.227169337717512
ukr	6	0	0.125295808471234
urd	2	0	0.0684507797844612
vec	2	0	0.0271262408106728
vie	6	0	0.113384680731402
vls	4	0	0.086946248236471
yid	4	0	0.0832514777022091
zho	12	7.83333333333333	0.196884096115916
zul	2	0	0.0684507797844612
