language	book.deg	book.bet	book.eig
abk	1	0	3.21468464178234e-06
abq	1	0	2.92244058343854e-07
ady	1	0	1.6804033354771e-06
afr	1	579	0.00297254309246954
akk	0	0	2.36056105182504e-21
alt	1	0	1.68040333547715e-06
ang	0	0	2.36056105182504e-21
ara	3	1598	0.0140866953691339
arc	0	0	2.36056105182504e-21
asm	2	389	3.62377126317707e-06
ast	1	0	0.000262293416652957
ava	1	0	2.0822389156999e-06
aze	1	0	4.26676325182035e-05
bak	1	0	1.66944418328925e-05
bam	1	0	6.07357375391132e-05
bdm	0	0	2.36056105182504e-21
bel	2	244	0.000304347126035774
ben	3	1280	1.53386014195574e-05
bod	1	62	0.000433285516338334
bre	2	10475	0.00152096558218443
bua	1	0	1.53428130630521e-06
bul	1	0	0.000143089997066613
cat	5	1538	0.0445594131960155
ces	3	0	0.135365982137282
che	1	0	1.93611688652798e-06
chm	1	0	2.99550159802441e-06
chp	1	0	0.000433830613495554
chu	0	0	2.36056105182504e-21
chv	1	0	5.22386254289648e-06
ckt	1	0	1.27856775525433e-06
cop	0	0	2.36056105182504e-21
cor	0	0	2.36056105182504e-21
cos	1	0	0.000263188196002824
cre	0	0	2.36056105182504e-21
crh	1	0	4.74896594808751e-07
cym	1	10390	0.00887745977615902
dak	1	172	1.25896589430669e-20
dan	7	1219	0.17701808153299
dar	1	0	2.15529993028596e-06
deu	19	11331	1
djj	0	0	2.36056105182504e-21
djk	0	0	2.36056105182504e-21
dlg	0	0	2.36056105182504e-21
dum	0	0	2.36056105182504e-21
egy	0	0	2.36056105182504e-21
ell	4	205	0.106153713085119
eng	116	17006	0.526833666600091
enm	0	0	2.36056105182504e-21
est	4	2879	0.0493959299343493
eus	2	1273	0.00831493416266733
evn	1	0	2.92244058343854e-07
fao	3	970	0.000294682653991391
fas	2	90	0.0321579210126425
fil	1	0	0.000461949264370265
fin	4	2762	0.123030101730537
fra	34	17924	0.885072569044593
fri	1	0	0.000130262501229506
frm	0	0	2.36056105182504e-21
fro	1	142	1.88844884146003e-20
ful	0	0	2.36056105182504e-21
